Sample in Buffer,Sample in Window,TRIGGER,BicubicDDRTest_i/system_ila_0/inst/probe0_1,BicubicDDRTest_i/system_ila_0/inst/probe1_1,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_0_axis_tlast,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tvalid,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tready,BicubicDDRTest_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(BicubicResizer_0_m_axis)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(BicubicResizer_0_m_axis)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
1,1,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
2,2,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
3,3,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
4,4,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
5,5,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
6,6,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
7,7,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
8,8,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
9,9,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
10,10,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
11,11,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
12,12,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
13,13,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
14,14,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
15,15,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
16,16,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
17,17,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
18,18,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
19,19,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
20,20,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
21,21,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
22,22,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
23,23,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
24,24,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
25,25,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
26,26,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
27,27,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
28,28,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
29,29,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
30,30,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
31,31,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
32,32,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
33,33,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
34,34,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
35,35,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
36,36,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
37,37,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
38,38,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
39,39,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
40,40,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
41,41,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
42,42,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
43,43,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
44,44,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
45,45,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
46,46,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
47,47,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
48,48,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
49,49,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
50,50,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
51,51,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
52,52,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
53,53,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
54,54,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
55,55,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
56,56,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
57,57,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
58,58,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
59,59,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
60,60,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
61,61,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
62,62,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
63,63,0,0,0,00000000,0000,0,1,0,00000000,0,1,0,"Inactive","Inactive","No Streams","No Streams"
