B=27, G=23, R=110
B=29, G=30, R=109
B=42, G=41, R=122
B=40, G=40, R=126
B=37, G=30, R=126
B=39, G=32, R=131
B=37, G=29, R=127
B=41, G=35, R=129
B=68, G=67, R=153
B=88, G=93, R=173
B=87, G=95, R=173
B=82, G=95, R=167
B=83, G=92, R=168
B=89, G=98, R=176
B=87, G=87, R=177
B=59, G=51, R=153
B=52, G=37, R=145
B=50, G=32, R=144
B=70, G=60, R=160
B=90, G=91, R=179
B=93, G=95, R=178
B=91, G=98, R=174
B=90, G=97, R=172
B=93, G=100, R=176
B=93, G=100, R=176
B=93, G=100, R=176
B=89, G=96, R=171
B=88, G=98, R=172
B=87, G=96, R=171
B=89, G=98, R=174
B=87, G=96, R=171
B=87, G=96, R=171
B=87, G=96, R=171
B=87, G=96, R=171
B=88, G=98, R=172
B=87, G=97, R=170
B=87, G=96, R=171
B=86, G=98, R=172
B=88, G=98, R=172
B=88, G=98, R=172
B=89, G=98, R=174
B=91, G=102, R=175
B=92, G=99, R=175
B=91, G=98, R=174
B=91, G=98, R=174
B=90, G=97, R=172
B=94, G=98, R=176
B=94, G=98, R=176
B=90, G=93, R=171
B=92, G=96, R=174
B=94, G=95, R=176
B=94, G=95, R=176
B=97, G=96, R=176
B=98, G=94, R=176
B=95, G=91, R=173
B=98, G=94, R=176
B=98, G=94, R=176
B=97, G=92, R=175
B=97, G=92, R=175
B=95, G=91, R=173
B=93, G=89, R=171
B=93, G=89, R=171
B=93, G=89, R=171
B=88, G=84, R=166
B=90, G=84, R=169
B=90, G=84, R=169
B=90, G=84, R=169
B=87, G=83, R=165
B=86, G=81, R=164
B=81, G=80, R=160
B=80, G=79, R=158
B=75, G=78, R=155
B=78, G=80, R=158
B=74, G=79, R=155
B=74, G=77, R=154
B=74, G=76, R=151
B=71, G=75, R=147
B=69, G=76, R=145
B=67, G=74, R=143
B=66, G=75, R=145
B=65, G=74, R=143
B=65, G=74, R=142
B=66, G=77, R=141
B=62, G=74, R=136
B=62, G=74, R=136
B=60, G=75, R=134
B=60, G=76, R=133
B=56, G=76, R=130
B=58, G=77, R=132
B=57, G=79, R=132
B=55, G=78, R=132
B=50, G=75, R=126
B=51, G=76, R=127
B=51, G=77, R=126
B=53, G=79, R=127
B=50, G=77, R=123
B=52, G=76, R=123
B=51, G=76, R=120
B=53, G=76, R=120
B=53, G=74, R=117
B=56, G=74, R=113
B=57, G=74, R=109
B=38, G=54, R=87
B=27, G=44, R=73
B=22, G=43, R=72
B=41, G=66, R=92
B=84, G=111, R=136
B=139, G=169, R=190
B=171, G=200, R=222
B=182, G=214, R=232
B=202, G=230, R=245
B=208, G=235, R=248
B=93, G=113, R=132
B=22, G=33, R=51
B=30, G=41, R=53
B=37, G=46, R=54
B=41, G=47, R=55
B=39, G=46, R=53
B=34, G=40, R=51
B=37, G=42, R=55
B=42, G=46, R=68
B=53, G=61, R=85
B=73, G=80, R=106
B=63, G=71, R=99
B=43, G=53, R=80
B=23, G=38, R=62
B=16, G=34, R=60
B=29, G=53, R=78
B=38, G=53, R=75
B=22, G=34, R=49
B=23, G=28, R=41
B=32, G=35, R=40
B=32, G=36, R=38
B=28, G=34, R=33
B=28, G=34, R=33
B=29, G=36, R=35
B=29, G=36, R=35
B=27, G=36, R=35
B=27, G=35, R=37
B=25, G=35, R=37
B=27, G=39, R=42
B=29, G=43, R=46
B=22, G=40, R=46
B=23, G=43, R=55
B=46, G=68, R=80
B=92, G=113, R=128
B=147, G=166, R=181
B=126, G=145, R=160
B=92, G=109, R=125
B=25, G=45, R=59
B=28, G=45, R=54
B=28, G=43, R=49
B=35, G=47, R=53
B=48, G=60, R=65
B=30, G=44, R=47
B=24, G=40, R=41
B=27, G=42, R=42
B=27, G=42, R=42
B=27, G=42, R=42
B=29, G=44, R=42
B=29, G=43, R=44
B=26, G=44, R=44
B=28, G=44, R=47
B=34, G=50, R=52
B=35, G=47, R=53
B=37, G=46, R=54
B=36, G=47, R=57
B=28, G=42, R=53
B=25, G=39, R=51
B=28, G=42, R=53
B=36, G=48, R=58
B=34, G=48, R=55
B=34, G=49, R=53
B=34, G=50, R=52
B=27, G=43, R=53
B=30, G=47, R=62
B=150, G=172, R=184
B=214, G=239, R=246
B=195, G=221, R=230
B=195, G=223, R=227
B=195, G=222, R=228
B=192, G=222, R=228
B=192, G=221, R=230
B=193, G=224, R=231
B=201, G=230, R=239
B=191, G=223, R=234
B=168, G=196, R=214
B=78, G=104, R=125
B=20, G=41, R=59
B=33, G=45, R=57
B=34, G=42, R=60
B=48, G=52, R=75
B=66, G=71, R=100
B=68, G=76, R=110
B=59, G=67, R=93
B=48, G=54, R=74
B=53, G=61, R=80
B=32, G=41, R=58
B=48, G=62, R=88
B=49, G=69, R=103
B=16, G=25, R=74
B=30, G=33, R=90
B=80, G=75, R=139
B=126, G=119, R=190
B=134, G=121, R=200
B=133, G=114, R=201
B=138, G=114, R=203
B=137, G=109, R=199
B=139, G=109, R=202
B=132, G=105, R=197
B=126, G=100, R=195
B=116, G=92, R=187
B=106, G=84, R=178
B=91, G=74, R=168
B=81, G=69, R=158
B=68, G=62, R=145
B=64, G=57, R=140
B=61, G=55, R=137
B=63, G=54, R=137
B=66, G=57, R=139
B=68, G=56, R=140
B=71, G=59, R=145
B=73, G=57, R=147
B=74, G=59, R=148
B=75, G=60, R=150
B=78, G=63, R=152
B=76, G=62, R=151
B=78, G=63, R=152
B=79, G=63, R=155
B=82, G=67, R=158
B=84, G=68, R=159
B=86, G=71, R=162
B=86, G=71, R=162
B=88, G=73, R=161
B=88, G=75, R=164
B=85, G=74, R=163
B=90, G=79, R=167
B=89, G=81, R=167
B=89, G=82, R=165
B=91, G=86, R=166
B=91, G=89, R=168
B=87, G=88, R=164
B=88, G=90, R=167
B=87, G=92, R=166
B=88, G=95, R=166
B=83, G=93, R=162
B=85, G=96, R=162
B=83, G=97, R=160
B=80, G=98, R=158
B=79, G=99, R=157
B=77, G=99, R=157
B=73, G=98, R=153
B=74, G=100, R=152
B=74, G=105, R=152
B=74, G=102, R=150
B=74, G=103, R=148
B=23, G=23, R=100
B=25, G=30, R=97
B=39, G=46, R=117
B=58, G=69, R=143
B=53, G=55, R=143
B=42, G=35, R=133
B=46, G=36, R=138
B=46, G=33, R=135
B=42, G=32, R=131
B=57, G=54, R=147
B=82, G=83, R=170
B=89, G=98, R=176
B=83, G=91, R=170
B=84, G=94, R=169
B=92, G=93, R=179
B=74, G=70, R=164
B=59, G=47, R=152
B=55, G=36, R=150
B=55, G=42, R=147
B=86, G=80, R=174
B=98, G=97, R=182
B=95, G=101, R=179
B=92, G=98, R=176
B=91, G=98, R=176
B=91, G=98, R=176
B=91, G=98, R=176
B=92, G=98, R=176
B=89, G=98, R=174
B=87, G=96, R=171
B=88, G=98, R=172
B=88, G=98, R=172
B=88, G=98, R=172
B=85, G=95, R=170
B=89, G=98, R=174
B=87, G=96, R=171
B=85, G=96, R=169
B=87, G=96, R=171
B=84, G=97, R=171
B=85, G=95, R=170
B=87, G=96, R=171
B=87, G=96, R=171
B=89, G=99, R=172
B=90, G=97, R=172
B=92, G=99, R=175
B=89, G=96, R=171
B=93, G=100, R=176
B=92, G=96, R=174
B=93, G=97, R=176
B=93, G=97, R=176
B=92, G=96, R=174
B=94, G=95, R=176
B=95, G=96, R=176
B=95, G=93, R=175
B=95, G=93, R=175
B=96, G=94, R=176
B=95, G=93, R=175
B=99, G=95, R=176
B=98, G=94, R=176
B=98, G=94, R=176
B=93, G=89, R=171
B=90, G=87, R=169
B=91, G=88, R=170
B=93, G=89, R=171
B=91, G=88, R=170
B=90, G=85, R=168
B=90, G=85, R=168
B=88, G=84, R=166
B=88, G=84, R=166
B=84, G=80, R=163
B=82, G=81, R=161
B=80, G=79, R=158
B=79, G=81, R=158
B=78, G=80, R=158
B=74, G=79, R=155
B=74, G=75, R=152
B=74, G=76, R=151
B=74, G=77, R=150
B=69, G=76, R=145
B=66, G=73, R=142
B=63, G=74, R=140
B=66, G=76, R=143
B=65, G=74, R=142
B=66, G=77, R=141
B=62, G=77, R=139
B=62, G=77, R=139
B=60, G=78, R=137
B=60, G=78, R=137
B=59, G=80, R=137
B=59, G=80, R=137
B=55, G=79, R=134
B=56, G=80, R=133
B=55, G=83, R=133
B=53, G=80, R=131
B=55, G=83, R=133
B=56, G=84, R=134
B=54, G=82, R=131
B=53, G=81, R=130
B=52, G=80, R=126
B=53, G=80, R=126
B=52, G=77, R=121
B=62, G=80, R=118
B=50, G=64, R=97
B=42, G=56, R=86
B=27, G=45, R=71
B=54, G=81, R=107
B=149, G=186, R=211
B=189, G=227, R=243
B=190, G=230, R=240
B=188, G=227, R=237
B=187, G=225, R=231
B=188, G=222, R=234
B=195, G=224, R=239
B=79, G=99, R=117
B=21, G=35, R=52
B=32, G=43, R=56
B=39, G=50, R=58
B=41, G=50, R=58
B=35, G=42, R=49
B=37, G=42, R=55
B=46, G=52, R=69
B=55, G=60, R=85
B=61, G=68, R=99
B=81, G=89, R=119
B=69, G=79, R=107
B=29, G=43, R=73
B=16, G=37, R=63
B=69, G=99, R=128
B=121, G=162, R=195
B=73, G=100, R=130
B=13, G=32, R=56
B=19, G=30, R=46
B=29, G=35, R=40
B=32, G=36, R=38
B=29, G=36, R=35
B=28, G=34, R=33
B=29, G=36, R=35
B=29, G=36, R=35
B=27, G=36, R=35
B=27, G=36, R=35
B=28, G=39, R=37
B=29, G=40, R=39
B=27, G=41, R=39
B=29, G=43, R=44
B=26, G=43, R=46
B=23, G=38, R=45
B=23, G=39, R=51
B=28, G=43, R=58
B=26, G=41, R=55
B=25, G=39, R=51
B=33, G=46, R=54
B=32, G=46, R=51
B=29, G=46, R=48
B=44, G=57, R=60
B=42, G=54, R=57
B=24, G=40, R=41
B=29, G=44, R=42
B=27, G=42, R=42
B=29, G=43, R=44
B=30, G=45, R=45
B=29, G=44, R=42
B=32, G=46, R=46
B=28, G=45, R=45
B=26, G=44, R=44
B=32, G=48, R=48
B=32, G=45, R=48
B=34, G=47, R=50
B=34, G=47, R=50
B=34, G=47, R=50
B=32, G=45, R=48
B=34, G=47, R=50
B=35, G=48, R=51
B=34, G=47, R=50
B=35, G=48, R=51
B=32, G=48, R=48
B=24, G=42, R=51
B=44, G=62, R=78
B=171, G=194, R=203
B=208, G=234, R=237
B=197, G=224, R=227
B=197, G=224, R=226
B=196, G=222, R=227
B=195, G=221, R=226
B=195, G=221, R=226
B=197, G=224, R=226
B=195, G=224, R=226
B=197, G=228, R=230
B=212, G=240, R=247
B=156, G=189, R=210
B=37, G=61, R=78
B=28, G=44, R=56
B=34, G=42, R=58
B=39, G=42, R=59
B=56, G=59, R=82
B=66, G=72, R=98
B=55, G=60, R=85
B=50, G=57, R=77
B=53, G=61, R=80
B=38, G=47, R=68
B=54, G=78, R=108
B=116, G=152, R=193
B=70, G=98, R=139
B=2, G=26, R=69
B=8, G=26, R=79
B=78, G=91, R=148
B=120, G=123, R=192
B=119, G=110, R=192
B=124, G=108, R=194
B=125, G=103, R=192
B=125, G=102, R=193
B=119, G=98, R=188
B=115, G=91, R=185
B=106, G=84, R=178
B=99, G=80, R=174
B=84, G=71, R=162
B=74, G=64, R=152
B=65, G=58, R=142
B=61, G=54, R=139
B=60, G=53, R=135
B=62, G=53, R=135
B=64, G=56, R=138
B=67, G=54, R=139
B=68, G=56, R=144
B=71, G=55, R=145
B=73, G=57, R=147
B=73, G=57, R=147
B=74, G=59, R=148
B=75, G=60, R=150
B=79, G=64, R=153
B=81, G=66, R=157
B=81, G=66, R=157
B=82, G=67, R=158
B=81, G=68, R=159
B=85, G=69, R=160
B=88, G=73, R=161
B=88, G=73, R=161
B=89, G=76, R=164
B=89, G=76, R=164
B=89, G=79, R=164
B=89, G=80, R=163
B=86, G=80, R=161
B=90, G=86, R=166
B=89, G=89, R=165
B=86, G=89, R=165
B=83, G=89, R=163
B=84, G=91, R=163
B=86, G=93, R=162
B=85, G=96, R=162
B=81, G=96, R=158
B=79, G=96, R=156
B=76, G=97, R=154
B=77, G=99, R=157
B=74, G=99, R=154
B=72, G=98, R=151
B=74, G=105, R=152
B=74, G=102, R=150
B=75, G=104, R=149
B=24, G=25, R=98
B=26, G=33, R=90
B=25, G=37, R=96
B=58, G=71, R=132
B=85, G=93, R=166
B=68, G=73, R=156
B=48, G=46, R=139
B=47, G=38, R=137
B=47, G=38, R=139
B=45, G=35, R=136
B=51, G=44, R=140
B=77, G=75, R=164
B=92, G=93, R=179
B=85, G=90, R=172
B=88, G=89, R=176
B=86, G=84, R=175
B=63, G=52, R=154
B=54, G=35, R=149
B=48, G=33, R=142
B=76, G=67, R=165
B=96, G=94, R=184
B=93, G=99, R=179
B=93, G=99, R=179
B=93, G=99, R=177
B=96, G=99, R=177
B=94, G=98, R=176
B=96, G=99, R=177
B=91, G=98, R=176
B=90, G=96, R=174
B=90, G=96, R=174
B=89, G=95, R=173
B=88, G=98, R=172
B=90, G=97, R=172
B=88, G=95, R=170
B=88, G=95, R=170
B=88, G=98, R=171
B=90, G=99, R=175
B=88, G=98, R=172
B=87, G=96, R=171
B=87, G=96, R=171
B=90, G=97, R=172
B=92, G=99, R=175
B=90, G=96, R=174
B=89, G=95, R=173
B=90, G=95, R=173
B=94, G=98, R=176
B=96, G=97, R=178
B=92, G=93, R=175
B=94, G=95, R=176
B=92, G=93, R=175
B=95, G=93, R=175
B=95, G=93, R=175
B=98, G=94, R=176
B=97, G=92, R=175
B=99, G=95, R=176
B=97, G=92, R=175
B=98, G=94, R=176
B=99, G=95, R=176
B=95, G=91, R=173
B=91, G=88, R=170
B=94, G=90, R=172
B=93, G=89, R=171
B=94, G=90, R=172
B=91, G=88, R=170
B=90, G=85, R=168
B=90, G=87, R=169
B=90, G=85, R=168
B=88, G=84, R=166
B=87, G=83, R=165
B=82, G=80, R=163
B=80, G=79, R=158
B=79, G=81, R=158
B=75, G=78, R=155
B=73, G=77, R=154
B=75, G=78, R=155
B=74, G=76, R=151
B=72, G=75, R=150
B=70, G=76, R=148
B=68, G=74, R=145
B=65, G=74, R=142
B=66, G=76, R=143
B=65, G=74, R=142
B=65, G=75, R=140
B=65, G=79, R=141
B=64, G=78, R=139
B=62, G=80, R=138
B=63, G=80, R=139
B=62, G=83, R=139
B=61, G=84, R=140
B=55, G=81, R=137
B=56, G=82, R=138
B=60, G=89, R=141
B=57, G=86, R=139
B=57, G=86, R=139
B=58, G=87, R=139
B=57, G=87, R=137
B=60, G=88, R=138
B=56, G=85, R=133
B=59, G=84, R=128
B=62, G=84, R=124
B=55, G=71, R=106
B=39, G=48, R=74
B=36, G=50, R=76
B=49, G=68, R=93
B=159, G=186, R=208
B=198, G=233, R=246
B=186, G=221, R=235
B=182, G=219, R=230
B=180, G=217, R=228
B=182, G=219, R=230
B=205, G=234, R=245
B=145, G=170, R=193
B=38, G=55, R=76
B=29, G=42, R=56
B=37, G=48, R=63
B=40, G=51, R=66
B=30, G=42, R=63
B=14, G=30, R=53
B=27, G=39, R=64
B=53, G=58, R=82
B=66, G=68, R=98
B=69, G=74, R=106
B=80, G=86, R=115
B=53, G=62, R=88
B=9, G=30, R=59
B=67, G=99, R=126
B=148, G=188, R=217
B=145, G=193, R=223
B=111, G=148, R=178
B=68, G=96, R=125
B=19, G=38, R=59
B=21, G=28, R=41
B=25, G=34, R=40
B=26, G=34, R=35
B=29, G=35, R=37
B=29, G=36, R=35
B=29, G=36, R=35
B=27, G=36, R=35
B=29, G=37, R=36
B=28, G=39, R=37
B=28, G=39, R=37
B=27, G=41, R=39
B=28, G=41, R=42
B=26, G=42, R=42
B=30, G=43, R=49
B=28, G=42, R=51
B=28, G=42, R=51
B=28, G=42, R=51
B=29, G=44, R=52
B=32, G=46, R=51
B=29, G=45, R=50
B=34, G=49, R=53
B=49, G=61, R=67
B=34, G=46, R=51
B=29, G=42, R=47
B=29, G=46, R=48
B=29, G=43, R=46
B=30, G=44, R=47
B=30, G=44, R=47
B=29, G=43, R=44
B=32, G=46, R=46
B=28, G=45, R=45
B=28, G=45, R=45
B=26, G=44, R=44
B=30, G=44, R=47
B=30, G=44, R=47
B=32, G=45, R=48
B=32, G=46, R=46
B=33, G=44, R=45
B=33, G=44, R=45
B=33, G=43, R=47
B=35, G=48, R=51
B=35, G=48, R=51
B=28, G=45, R=45
B=23, G=40, R=50
B=50, G=66, R=81
B=183, G=203, R=215
B=210, G=234, R=240
B=199, G=222, R=229
B=199, G=224, R=226
B=199, G=224, R=226
B=196, G=223, R=225
B=199, G=224, R=226
